Words;Tag;;;
gadis;NN;;Keterangan;
dari;IN;;Tag;Description
kampung;NN;;CC;Coordinating conjunction
07:44;CD;;CD;Cardinal number
kala;NN;;DT;Determiner
itu;PR;;EX;Existential there
aku;VB;;FW;Foreign word
numpang;;;IN;Preposition or subordinating conjunction
kost;;;JJ;Adjective
di;IN;;JJR;Adjective, comparative
rumah;NN;;JJS;Adjective, superlative
temanku;NN;;LS;List item marker
yang;SC;;MD;Modal
sudah;MD;;NN;Noun, singular or mass
berkeluarga;VB;;NNS;Noun, plural
,;Z;;NNP;Proper noun, singular
sedang;CC,JJ,MD;;NNPS;Proper noun, plural
seorang;JJ;;PDT;Predeterminer
adik;NN;;POS;Possessive ending
kebetulan;NN;;PRP;Personal pronoun
juga;RB;;PRP$;Possessive pronoun
sebagai;IN;;RB;Adverb
pengasuh;NN;;RBR;Adverb, comparative
anak-anak;NN;;RBS;Adverb, superlative
berhubung;VB;;RP;Particle
suami istri;NN;;SYM;Symbol
bekerja;VB;;TO;to
.;Z;;UH;Interjection
pada;IN;;VB;Verb, base form
awal;NN;;VBD;Verb, past tense
nya;PRP;;VBG;Verb, gerund or present participle
memandang;VB;;VBN;Verb, past participle
nani;;;VBP;Verb, non-3rd person singular present
nama;NN;;VBZ;Verb, 3rd person singular present
biasa-biasa;JJ;;WDT;Wh-determiner
saja;RB;;WP;Wh-pronoun
maklum;;;WP$;Possessive wh-pronoun
walaupun;SC;;WRB;Wh-adverb
cukup;RB;;;
dibilang;VB;;;
dewasa;JJ;;;
-27;CD;;;
tetapi;CC;;;
sekalipun;SC;;;
belum;NEG;;;
pernah;MD;;;
mengenal;VB;;;
wanita;NN;;;
secara;JJ;;;
khusus;JJ;;;
apalagi;CC;;;
pacaran;NN;;;
orang;NN,NND;;;
tuaku;JJ;;;
menekankan;VB;;;
menuntut ilmu;VB;;;
lebih;RB;;;
utama;JJ;;;
untuk;SC,IN;;;
masa;NN;;;
depan;NN;;;
setelah;SC;;;
selesai;JJ;;;
kuliah;NN;;;
dan;CC;;;
langsung;JJ;;;
merasa;VB;;;
berhasil;JJ;;;
menikmati;VB;;;
hasilku;NN;;;
selama;JJ;;;
ini;PR;;;
sekedar;;;;
background;;;;
kenapa;WH,SC;;;
pandang;VB;;;
biasa;JJ;;;
karena;IN,SC;;;
dia;PRP;;;
hanya;RB;;;
lulus;JJ;;;
sd;NN;;;
sehingga;SC;;;
kurang;RB;;;
peduli;JJ;;;
bila;SC;;;
menyadari;VB;;;
tingkat;NN;;;
pendidikanku;NN;;;
sendiri;JJ;;;
namun;CC;;;
hari;NN;;;
kehari;;;;
si;DT;;;
selalu;RB;;;
melayaniku;VB;;;
menyediakan;VB;;;
makan;VB;;;
menjaga;VB;;;
kebersihan;NN;;;
kamarku;NN;;;
bahkan;RB;;;
mencuci;VB;;;
bajuku;NN;;;
terkadang;RB;;;
tanpa;IN,SC;;;
minta;VB;;;
sebenarnya;RB;;;
adakalanya;;;;
sibuk;JJ;;;
kerja;VB,NN;;;
waktuku;NN;;;
serasa;JJ;;;
buru-buru;VB;;;
rupanya;RB;;;
sedikit;CD;;;
menaruh hati;VB;;;
tapi;CC;;;
tidak;NEG;;;
tanggap;VB;;;
sekali;JJ;;;
terlihat;VB;;;
cara;NN;;;
memandangku;VB;;;
pura-pura;VB;;;
memperhatikan;VB;;;
ke;IN;;;
arah;NN;;;
lain;JJ;;;
sampai;IN,SC;;;
suatu;CD;;;
saat;SC,NN;;;
dimana;VB;;;
beserta;;;;
anak;NN;;;
istri;NN;;;
pulang;VB;;;
keperluan;NN;;;
seminggu;NN;;;
sedangkan;CC;;;
perempuan;NN;;;
harus;MD;;;
setiap;CD;;;
kali;VB,NN;;;
untukku;;;;
diikutkan;VB;;;
tinggal;VB;;;
nina;;;;
kesendirian;NN;;;
kami;PRP;;;
berdua;;;;
menimbulkan;VB;;;
suasana;NN;;;
hingga;IN,SC;;;
pagi;NN;;;
ketika;SC;;;
menyapu;VB;;;
bersiap;VB;;;
berangkat;VB;;;
masuk;VB;;;
lah;RP;;;
lantai;NN;;;
mana;NN;;;
posisi;NN;;;
maka;SC;;;
membungkuk;VB;;;
aduhh,;;;;
perh;;;;
bercermin;VB;;;
tersapu;VB;;;
oleh;IN;;;
pemandangan;NN;;;
menakjubkanku;VB;;;
dua;CD;;;
buah;NN,NND;;;
melon;NN;;;
subur;JJ;;;
segar;JJ;;;
terhidang;VB;;;
depanku;NN;;;
dengan;IN,SC;;;
basa;;;;
basi;VB;;;
menyapaku;VB;;;
entah;RB;;;
sadar;JJ;;;
atau;CC;;;
telah;MD;;;
menarik;VB,JJ;;;
perhatianku;NN;;;
payudara;NN;;;
terbungkus;VB;;;
bh;;;;
kecuali;IN,CC;;;
dibalut;;;;
baju;NN;;;
berpotongan;VB;;;
dada;NN;;;
rendah;JJ;;;
membuang;VB;;;
kesempatan;NN;;;
nikmati;VB;;;
keindahan;NN;;;
leluasa;JJ;;;
melalui;;;;
cermin;NN;;;
dikamarku;VB;;;
menjelang;;;;
tiba-tiba;RB;;;
dekap;;;;
perut;NN;;;
sambil;IN,SC;;;
merintih;;;;
kesakitan;NN;;;
muka;NN;;;
menampakkan;VB;;;
rasa;VB,NN;;;
sakit;JJ,NN;;;
melilit;VB;;;
gerak;VB;;;
refleks;;;;
pegang;VB;;;
lengan;NN;;;
tanya;VB;;;
apa;WH,SC;;;
rasakan;VB;;;
tetap;RB,JJ,VB;;;
jawab;VB;;;
bahwa;SC;;;
mules;;;;
bimbing;VB;;;
kamar;NN;;;
memegangi;VB;;;
ditempat;VB;;;
tidur;VB;;;
kusuruh;VB;;;
rebahan;;;;
memintaku;VB;;;
diberikan;VB;;;
obat;NN;;;
gosok;VB;;;
segera;RB;;;
ambilkan;VB;;;
berjaga;VB;;;
balik;VB;;;
blousenya;;;;
menggosok;VB;;;
lagi-lagi;RB;;;
mengerang;VB;;;
mengaduh;;;;
membuatku;VB;;;
panik;JJ;;;
ikut;VB;;;
mengurut;VB;;;
nampak;;;;
agak;RB;;;
berkurang;VB;;;
rintihannya;;;;
masih;MD;;;
kuurut;;;;
kepanikanku;NN;;;
mulai;VB;;;
hilang;JJ;;;
lagi;CC,MD,RB;;;
akan;IN,MD;;;
bersamaan;VB;;;
bangkit;VB;;;
perasaan;NN;;;
urut;NN;;;
tadi;PR;;;
menelusuk;;;;
tubuh;NN;;;
merasakan;VB;;;
kenikmatan;NN;;;
tanganku;NN;;;
dipegang;VB;;;
dibimbing;VB;;;
taman;NN;;;
berhiaskan;VB;;;
turuti;VB;;;
bersama;VB;;;
mengusap;;;;
terus;RB;;;
menelusup;;;;
diantara;;;;
buah-buah;NN;;;
memetik-metik;VB;;;
putingnya;;;;
nikmat;JJ,NN;;;
erangan;NN;;;
halus;JJ;;;
memberi;VB;;;
isyarat;NN;;;
memilin;;;;
puting;;;;
semakin;RB;;;
menegang;VB;;;
baru;MD,JJ,NN;;;
sadari;VB;;;
pertama;OD;;;
terangsang;VB;;;
membuat;VB;;;
penisku;;;;
mengeras;VB;;;
tambah;VB;;;
menekan;VB;;;
dalam;IN,NN;;;
celanaku;NN;;;
siap;JJ;;;
sementara;;;;
tertunda;VB;;;
eehh;;;;
mas;;;;
..;;;;
gelii;VB;;;
aahh;;;;
eehmm;;;;
aduuhh;;;;
mass;;;;
;;;;
duduk;VB;;;
membelakangiku;VB;;;
menyandar;VB;;;
dadaku;NN;;;
menengadahkan;;;;
mulut;NN;;;
mengendus-endus;VB;;;
leherku;NN;;;
buang;VB;;;
waktu;NN;;;
mulutku;NN;;;
pun;RP;;;
kuenduskan;VB;;;
leher;NN;;;
selanjutnya;RB;;;
saling;RB;;;
berpautan;VB;;;
mengulum;;;;
menjulurkan;VB;;;
lidah;NN;;;
penuh;JJ;;;
nafsu;NN;;;
menyusuri;VB;;;
meningkatkan;VB;;;
kegairahan;NN;;;
tangan;NN;;;
kesadaran;NN;;;
ditandai;VB;;;
melepas;VB;;;
kaitan;NN;;;
rok;NN;;;
bawahan;NN;;;
dilanjutkan;VB;;;
kancing-kancing;NN;;;
kembali;VB;;;
kesadaranku;NN;;;
tertegun;;;;
keutuhan;NN;;;
mengenakan;VB;;;
cd-;NN;;;
terperanjat;;;;
eiitt;;;;
jam;NND;;;
delapan;CD;;;
wahh;;;;
terlambat,;;;;
kataku;NN;;;
senyum;VB,NN;;;
tertahan;VB;;;
kemudian;CC,NN;;;
berpeluk;VB;;;
cium;VB;;;
berkata;VB;;;
entar;;;;
ijin;NN;;;
kalau;SC;;;
ada;JJ;;;
yahh;;;;
gimana;;;;
?;Z;;;
.he;;;;
eh;;;;
entar;;;;
kita;PRP;;;
terusin;;;;
ya;;;;
janji;NN;;;
lho;;;;
ehh;;;;
nan;;;;
tanyaku;VB;;;
mas;;;;
kemot;NN;;;
dulu;;;;
dong;NN,UH;;;
ntar;;;;
boleh;MD;;;
berangkat.;;;;
achh;;;;
tak;NEG;;;
bisa;MD,NN;;;
ditunda;VB;;;
pikirku;VB;;;
terpaksa;;;;
gairah;NN;;;
hampir;RB;;;
merata;VB;;;
bekas;JJ;;;
kemotan;;;;
kedua;CD,OD;;;
sampai-sampai;SC;;;
percaya;VB;;;
keganasanku;;;;
pelukan;NN;;;
seolah;;;;
adalah;VB;;;
kerinduan;NN;;;
lama;JJ;;;
terpendam;VB;;;
kantorku;NN;;;
beberapa;CD;;;
ratus;CD;;;
meter;NND;;;
tempati;VB;;;
menyampaikan;VB;;;
alasan;NN;;;
dapat;MD,VB;;;
diterima;VB;;;
atasanku;NN;;;
bergegas;VB;;;
dirumah;VB;;;
memang;RB;;;
sepi;;;;
jam-jam;NN;;;
menambah;VB;;;
kegairahanku;NN;;;
membuka;VB;;;
pintu depan;NN;;;
terkunci;VB;;;
kukunci;;;;
pintu-pintu;NN;;;
tertutup;VB;;;
tuju;VB;;;
buka;VB;;;
ganti;VB;;;
kerjaku;VB,NN;;;
maksud;NN;;;
kaos;NN;;;
celana pendek;NN;;;
satu;CD;;;
persatu;;;;
kenakan;VB;;;
celana;NN;;;
dalamku;JJ,NN;;;
belakang;NN;;;
mendekapku;;;;
ohh;;;;
menakjubkan,;;;;
sedari;SC;;;
tinggalkan;VB;;;
menunggu;VB;;;
teruskan;VB;;;
meraba;;;;
ciuman;NN;;;
masing;;;;
celana dalam;NN;;;
kulit;NN;;;
bergesekan;;;;
dekapan;;;;
berpelukan;VB;;;
berciuman;VB;;;
keempukan;NN;;;
tonjolan;NN;;;
daging;NN;;;
selangkangan;;;;
terbelah;VB;;;
memberikan;VB;;;
sarang;NN;;;
batang;NN,NND;;;
lembut;JJ;;;
torehan;NN;;;
susu;NN;;;
bergerak;VB;;;
punggung;NN;;;
beralih;VB;;;
pantat;NN;;;
bulat;JJ;;;
remas-remas;NN;;;
memegang;VB;;;
kepalaku;NN;;;
bibir;NN;;;
berdiri;VB;;;
eeehh;;;;
mmaas;;;;
eehh;;;;
eegh;;;;
enaak;;;;
sayang;NN;;;
ngg,;;;;
teruss;;;;
teruss;;;;
gelii;;;;
egghh;;;;
eenaak;;;;
erang;VB;;;
keluar;VB;;;
lanjutkan;VB;;;
berguling;VB;;;
peluk;VB;;;
menaikkan;VB;;;
petting;;;;
indekost;;;;
tempat;NN;;;
tidurku;VB;;;
seada;JJ;;;
pas-pasan;NN;;;
pasti;JJ;;;
pas;NN;;;
memuncak;VB;;;
buah dada;NN;;;
penis;;;;
hal;NN;;;
jadi;JJ;;;
obsesiku;NN;;;
keinginan;NN;;;
mengemot;;;;
melihat;VB;;;
sedemikian;PR;;;
montok;;;;
menggairahkan;VB;;;
tumpahkan;VB;;;
mass;;;;
terruss;;;;
pentilku;;;;
mmaass;;;;
geelii;;;;
,;;;;
eehm;;;;
jilatin;;;;
peengin;;;;
.;;;;
puaskan;VB;;;
menjilati;VB;;;
demikian;PR;;;
gesek-gesekkan;VB;;;
selangkangannya;;;;
kaget;JJ;;;
basah;JJ;;;
gesekkan;;;;
memakai;VB;;;
cd;NN;;;
mengeluarkan;VB;;;
cairan;NN;;;
sperma;NN;;;
mencoba;VB;;;
belahan;NN;;;
memekik;VB;;;
aaa;;;;
jangan;NEG;;;
nggak;NEG;;;
tahan;VB;;;
gelinya.;;;;
lepaskan;VB;;;
ku;;;;
meremas;;;;
memilin-milin;VB;;;
mass;;;;
heeh;;;;
begitu;PR,RB,SC;;;
kemotin;;;;
susuku;NN;;;
diremass-reeemas;;;;
eeenak;;;;
eeh;;;;
ehghhm;;;;
yangg;;;;
geli.;;;;
dice;VB;;;
eeh;;;;
,,;;;;
eehh;;;;
eeheh;;;;
eh.;;;;
lenguhannya;;;;
gesek;NN;;;
mas;;;;
tarik;VB;;;
cd-ku;NN;;;
celanamu,;;;;
ucapan;NN;;;
tersebut;PR,VB;;;
lepas;VB,JJ;;;
pergumulan;NN;;;
ragu;JJ;;;
deg-degan;NN;;;
pelan-pelan;JJ;;;
keadaan;NN;;;
telentang;;;;
angkat;VB;;;
kaki;NN;;;
atas;IN,NN;;;
bergeser;VB;;;
meninggalkan;VB;;;
kutarik;VB;;;
perlahan-lahan;;;;
berpandangan mata;VB;;;
serta;IN,CC;;;
senyum-senyum;VB,NN;;;
nakal;JJ;;;
dihadapkan;VB;;;
sembulan;;;;
disebut;VB;;;
clitoris;;;;
ditumbuhi;VB;;;
rambut-rambut;NN;;;
keriting;;;;
bllaass;;;;
tinggalah;;;;
celah;NN;;;
rapat-rapat;JJ,NN;;;
menganga;VB;;;
semu;JJ;;;
pink;;;;
leleran;;;;
lendir;NN;;;
lubang;NN;;;
nin;;;;
sih;;;;
apanya;;;;
mas;;;;
sahut;VB;;;
kalau;;;;
dikemot-kemot;VB;;;
sama;JJ;;;
pentilnya;;;;
tadi.;;;;
aduh;;;;
rasanya;RB;;;
geli;VB,JJ;;;
banget;RB;;;
kaya;JJ;;;
mau;MD,NN,RB;;;
mati;VB,JJ;;;
iih;;;;
geli.;;;;
enggak;;;;
dikemot;;;;
dipentilnya;;;;
tadi;;;;
enak;;;;
pingin;;;;
kiri;JJ;;;
kanan;JJ;;;
bareng-bareng;NN;;;
liang;;;;
kewanitaanku;NN;;;
ikut-ikutan;NN;;;
nyut-nyutan;NN;;;
eeghh;;;;
hemm;;;;
yach;;;;
bergidik;;;;
hhmm;;;;
terus;;;;
penasaran;;;;
iiih;;;;
dong,;;;;
merayap;VB;;;
selangkanganku;;;;
pakai;VB;;;
memencet;;;;
menonjol;VB;;;
tuh;;;;
kupegang-pegang;VB;;;
gini;VB;;;
keingin-tahuan;NN;;;
besar;JJ;;;
sama;;;;
pengin;;;;
dielus-elus;VB;;;
eh-eh;;;;
eh;;;;
mengesek-gesek;NN;;;
dipegang-pegang;VB;;;
raba-raba;NN;;;
pelirku;;;;
yah;;;;
juga;;;;
tegasku;JJ;;;
elus-elus;NN;;;
paha;NN;;;
putih;JJ;;;
mulus;NN;;;
eh;;;;
kutipu;;;;
habis;JJ;;;
kelihatan;VB;;;
cuek;;;;
saja,;;;;
menggoda;VB;;;
brengsek;;;;
nih;;;;
batinku;NN;;;
nekat;;;;
ngerjain;;;;
enak;JJ;;;
iseng;JJ;;;
meremas-remas;VB;;;
tegak;JJ;;;
tegang;JJ;;;
kita;;;;
kelonan;;;;
siang;NN;;;
ataupun;CC;;;
malam.;;;;
14.00;CD;;;
nanti;VB;;;
nyediain;;;;
dong.;;;;
yah;;;;
usah;VB;;;
asal;NN;;;
kenyang.;;;;
memelukku;VB;;;
erat-erat;VB;;;
diciumi;VB;;;
bibirku;NN;;;
dijulurkan;VB;;;
kerongkonganku;NN;;;
yuk;;;;
sore;NN;;;
mandi;VB;;;
bareng.;;;;
mengelus;;;;
clitorisnya;;;;
menindih;VB;;;
pingsan;;;;
m;NND;;;
eghhmm;;;;
aduuh;;;;
memekku;;;;
teruuss;;;;
eeghh;;;;
eghh.;;;;
lahapnya;;;;
jari;NN;;;
tengahku;NN;;;
cabut;VB;;;
clitnya;;;;
kujilati;VB;;;
jariku;NN;;;
gurihnya;;;;
eeehh;;;;
eennak;;;;
uuhhgg;;;;
uughhg;;;;
uuhh;;;;
ehhehh;;;;
kedalam;;;;
lenguhan;;;;
dengus;;;;
napas;NN;;;
gairahku;NN;;;
kian;;;;
meningkat;VB;;;
menuruti;VB;;;
naluriku;;;;
memasukkan;VB;;;
senggamanya;;;;
walupun;;;;
lendirku;NN;;;
kebawah;;;;
berhadapan;VB;;;
mata;NN;;;
terpejam;;;;
dirasakan;VB;;;
lidahku;NN;;;
menjilatlubang;;;;
terpekik;VB;;;
aahhuughh;;;;
huu;;;;
hu;;;;
aduh;;;;
eggh;;;;
aduhh;;;;
kuat;JJ;;;
mass;;;;
eghh;;;;
egh;;;;
hhgeehh;;;;
perhatikan;VB;;;
kejang;;;;
seperti;IN,SC;;;
sangsi;NN;;;
malahan;;;;
tekan;VB;;;
berteriak;VB;;;
hehehggheh;;;;
ahh;;;;
ehhehh;;;;
huhh;;;;
akuu;;;;
rasanya;;;;
eghh;;;;
blarr;;;;
menantang;VB;;;
masukkan;VB;;;
eeghheghh;;;;
bentangkan;VB;;;
lebar;JJ;;;
membimbing;VB;;;
memasuki;VB;;;
kocok;VB;;;
dalam;;;;
enakk.;;;;
menekuk;VB;;;
tumpuan;NN;;;
berat;JJ;;;
tubuhku;NN;;;
tindihkan;VB;;;
kuamblaskan;;;;
sedotan;NN;;;
sangat;RB;;;
eehhgehhg;;;;
mas;;;;
maass;;;;
aduuh;;;;
eehhgg;;;;
mass;;;;
ahhgg-agh;;;;
aduh;;;;
memekmu;;;;
ngemot;;;;
eehhmm;;;;
nikmat;;;;
sedot;;;;
hhaghhah;;;;
keluarrr.;;;;
aku;;;;
nan;;;;
ahhgh;;;;
ahgghhah.;;;;
bergetar;VB;;;
menyedot;VB;;;
sedot;VB;;;
menyemburkan;VB;;;
spermaku;;;;
terlepas;VB,JJ;;;
menyongsong;;;;
menyambut;VB;;;
semburan;NN;;;
ditimpali;;;;
beraturan;VB;;;
dimulut;VB;;;
cppokklep;;;;
plekk;;;;
clepk;;;;
clkek;;;;
cslckek;;;;
bunyi;NN;;;
terasa;VB;;;
tenagaku;NN;;;
berangsur-angsur;VB;;;
lemas;;;;
sisa;NN;;;
bersih;JJ;;;
sesaat;JJ;;;
3;CD;;;
bangun;VB;;;
badan;NN;;;
pegal;;;;
berpagut;;;;
rabaan;;;;
remasan;;;;
busana;NN;;;
akhirnya;RB;;;
air;NN;;;
sebelumnya;SC;;;
itulah;;;;
pengalaman;NN;;;
kaliku;VB,NN;;;
hubungan seks;NN;;;
bernama;VB;;;
related;;;;
post;;;;
menjadi;VB;;;
budak;NN;;;
tante girang;NN;;;
cerita;NN;;;
bokep;;;;
calon;NN;;;
mertua;NN;;;
bispak;;;;
hisap;VB;;;
partner;;;;
ngentot;;;;
office;;;;
mungil;JJ;;;
amelia;;;;
07:30;CD;;;
1;CD;;;
saya;PRP;;;
punya;VB;;;
kenalan;NN;;;
****;;;;
edited;;;;
fakultas;NN;;;
sastra;;;;
susan;;;;
putih bersih;NN;;;
keturunan;NN;;;
negeri;NN;;;
seberang;VB,JJ;;;
kedokteran;NN;;;
edited;;;;
by;;;;
yuri;;;;
jemput;VB;;;
sesampainya;SC;;;
bilangan;NN;;;
cempaka;;;;
mengajak;VB;;;
kata;NN;;;
kosong;JJ;;;
besok;NN;;;
sayapun;;;;
sofa;;;;
ruang;NN;;;
tamu;NN;;;
menutup;VB;;;
datang;VB;;;
pendek;JJ,NN;;;
membawa;VB;;;
minuman;NN;;;
samping;NN;;;
busyet;;;;
mencium;VB;;;
harum;JJ;;;
jelas;JJ;;;
terus terang;VB;;;
membayangkan;VB;;;
menatap;VB;;;
bingung;JJ;;;
kenapa;;;;
sih;;;;
ben;;;;
,;;;;
cepat-cepat;JJ;;;
lamunan;;;;
erotis;;;;
ngga,;;;;
lu;;;;
laen;;;;
biasanya.lain;;;;
apanya;;;;
ben;;;;
menumpangkan;VB;;;
salah satu;JJ;;;
satunya;;;;
birahi;NN;;;
terangkat;VB;;;
pikiran;NN;;;
bergelora;VB;;;
menghayalkan;VB;;;
seandainya;SC;;;
meraba-raba;VB;;;
kemulusan;NN;;;
heh;;;;
!;Z;;;
tertawa;VB;;;
menepuk;VB;;;
bahu;VB;;;
ngeliat;;;;
apaan;;;;
hayo;;;;
ngeres;;;;
deh;;;;
lo;;;;
cuma;RB;;;
tersenyum;VB;;;
san;;;;
panas;JJ,NN;;;
di sini;PR,PRP;;;
mengambil;VB;;;
saputangan;;;;
kantong;NN;;;
iya;;;;
udah;;;;
keringetan;;;;
begini.;;;;
mengelap;;;;
keringat;NN;;;
dahi;;;;
tisu;NN;;;
berdekatan;VB;;;
inisiatif;NN;;;
memeluk;VB;;;
benar;JJ;;;
berada;VB;;;
lumatan;NN;;;
sama sekali;JJ;;;
berontak;VB;;;
memejamkan;;;;
percumbuan;;;;
perlahan;;;;
berganti;VB;;;
pinggulnya;;;;
turun;VB;;;
pangkal;NN;;;
betapa;;;;
naik turun;VB;;;
meremasnya;;;;
bangga;JJ;;;
menyentuh;VB;;;
bagian;NN;;;
sensitif;JJ;;;
berpagutan;;;;
mesra;JJ;;;
lama-lama;;;;
lengkap;JJ;;;
naik;VB;;;
sekarang;;;;
ingin;RB;;;
melayang;VB;;;
jauh;JJ;;;
pelan;JJ;;;
mengangkat;VB;;;
menolak;VB;;;
